AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
PFSH	SKK	2C7	Shaktoolik Airport (FAA: 2C7)	Shaktoolik, Alaska, United States
PFWS	WSN		South Naknek Nr 2 Airport	South Naknek, Alaska, United States
PFYU	FYU		Fort Yukon Airport	Fort Yukon, Alaska, United States
PGRO	ROP	GRO	Rota International Airport (FAA: GRO)	Rota Island, Northern Mariana Islands
PGSN	SPN	GSN	Saipan International Airport (Francisco C. Ada) (FAA: GSN)	Saipan Island, Northern Mariana Islands
PGUA	UAM		Andersen Air Force Base	Agana, Guam
PGUM	GUM		Antonio B. Won Pat International Airport (Guam International)	Hagåtña, Guam
PGWT	TIQ	TNI	Tinian International Airport (West Tinian) (FAA: TNI)	Tinian Island, Northern Mariana Islands
VIST	TNI		Satna Airport	Satna, India
PHBK	BKH		Barking Sands PMRF	Kekaha, Hawaii, United States
PHDH	HDH		Dillingham Airfield	Mokuleia, Hawaii, United States
PHHI	HHI		Wheeler Army Airfield	Wahiawa, Hawaii, United States
PHHN	HNM		Hana Airport	Hana, Hawaii, United States
PHIK	HIK		Hickam Air Force Base	Honolulu, Hawaii, United States
PHJH	JHM		Kapalua Airport	Lahaina, Hawaii, United States
PHJR	NAX	JRF	Kalaeloa Airport (NAS Barbers Point) (John Rodgers Field) (FAA: JRF)	Kapolei, Hawaii, United States
PHKO	KOA		Kona International Airport	Kailua / Kona, Hawaii, United States
PHLI	LIH		Lihue Airport	Lihue, Hawaii, United States
PHLU	LUP		Kalaupapa Airport	Kalaupapa, Hawaii, United States
PHMK	MKK		Molokai Airport	Kaunakakai, Hawaii, United States
PHMU	MUE		Waimea-Kohala Airport	Kamuela, Hawaii, United States
PHNL	HNL		Honolulu International Airport	Honolulu, Hawaii, United States
PHNY	LNY		Lanai Airport	Lanai City, Hawaii, United States
PHOG	OGG		Kahului Airport	Kahului, Hawaii, United States
PHSF	BSF		Bradshaw Army Airfield	Camp Pohakuloa, Hawaii, United States
PHTO	ITO		Hilo International Airport	Hilo, Hawaii, United States
PHUP	UPP		Upolu Airport	Hawi, Hawaii, United States
PJON	JON		Johnston Atoll Airport	Johnston Atoll, U.S. Minor Outlying Islands
PKMA	ENT		Enewetak Auxiliary Airfield	Enewetak, Marshall Islands
PKMJ	MAJ		Marshall Islands International Airport (Amata Kabua Int'l)	Majuro, Marshall Islands
PKWA	KWA		Bucholz Army Airfield	Kwajalein, Marshall Islands
PLCH	CXI		Cassidy International Airport	Christmas Island, Kiribati
PMDY	MDY		Henderson Field	Sand Island, Midway Atoll, United States
PPIZ	PIZ		Point Lay LRRS Airport	Point Lay, Alaska, United States
PTKK	TKK		Chuuk International Airport	Weno, Federated States of Micronesia
PTPN	PNI		Pohnpei International Airport	Kolonia, Federated States of Micronesia
PTRO	ROR		Babelthuap Airport	Koror, Palau
PTSA	KSA	TTK	Kosrae International Airport (FAA: TTK)	Kosrae, Federated States of Micronesia
PTYA	YAP		Yap International Airport	Yap, Federated States of Micronesia
PWAK	AWK		Wake Island Airfield	Wake Island, United States Minor Outlying Islands
RCBS	KNH		Kinmen Airport	Kinmen, Taiwan
RCCM	CMJ		Cimei Airport	Cimei, Taiwan
RCFG	LZN		Matsu Nangan Airport	Nangan, Matsu Islands, Taiwan
RCGI	GNI		Lyudao Airport (Green Island Airport)	Lyudao (Green Island), Taiwan
RCKH	KHH		Kaohsiung International Airport	Kaohsiung, Taiwan
RCKU	CYI		Chiayi Airport	Chiayi, Taiwan
RCKW	HCN		Hengchun Airport	Hengchun, Taiwan
RCLG	TXG		Taichung Ching Chuang Kang Airport	Taichung, Taiwan, Republic of China
RCLS	LHN		Lishan Airport	Lishan, Taiwan
RCLY	KYD		Lanyu Airport	Orchid Island, Taitung County, Taiwan
RCMQ	RMQ		Taichung Ching Chuan Kang Airport	Taichung, Taiwan, Taiwan
RCNN	TNN		Tainan Airport	Tainan City, Taiwan, Republic of China
RCPO	HSZ		Hsinchu Airport	Hsinchu, Taiwan
RCQC	MZG		Magong Airport	Magong, Taiwan
RCSS	TSA		Taipei Songshan Airport	Taipei City, Taiwan, Republic of China
RCTP	TPE		Taiwan Taoyuan International Airport	Taoyuan County (near Taipei), Taiwan, Republic of China
RCWA	WOT		Wang-an Airport	Wang-an, Penghu (Pescadores), Republic of China
RCYU	HUN		Hualien Airport	Hualien, Taiwan, Republic of China
RJAA	NRT		Narita International Airport (formerly New Tokyo International)	Narita (near Tokyo), Japan
RJAF	MMJ		Matsumoto Airport	Matsumoto, Nagano, Japan
RJAW	IWO		Iwo Jima Air Base	Iwo Jima, Bonin Islands, Japan
RJBB	KIX		Kansai International Airport	Osaka, Japan
RJBD	SHM		Nanki-Shirahama Airport	Shirahama, Japan
RJBE	UKB		Kobe Airport	Kobe, Hyōgo Prefecture, Japan
RJBH	HIW		Hiroshima West Airport	Hiroshima, Honshū, Japan
RJCB	OBO		Tokachi-Obihiro Airport	Obihiro, Tokachi Subprefecture, Hokkaido, Japan
RJCC	CTS		Chitose International Airport	Sapporo, Hokkaido, Japan
RJCH	HKD		Hakodate Airport	Hakodate, Hokkaidō, Japan
RJCK	KUH		Kushiro Airport	Kushiro, Hokkaidō, Japan
RJCM	MMB		Memanbetsu Airport	Kitami, Japan
RJCN	SHB		Nakashibetsu Airport	Nakashibetsu, Japan
RJCW	WKJ		Wakkanai Airport	Wakkanai, Hokkaido, Japan
RJDB	IKI		Iki Airport	Iki, Iki Island, Japan
RJDC	UBJ		Yamaguchi Ube Airport	Ube, Yamaguchi Prefecture, Japan
RJEB	MBE		Monbetsu Airport	Monbetsu, Hokkaidō, Japan
RJEC	AKJ		Asahikawa Airport	Asahikawa, Hokkaido, Japan
RJEO	OIR		Okushiri Airport	Okushiri, Okushiri Island, Hokkaido, Japan
RJFC	KUM		Yakushima Airport	Yakushima, Kagoshima Prefecture, Japan
RJFE	FUJ		Fukue Airport (Gotō Fukue Airport)	Gotō, Nagasaki, Japan
RJFF	FUK		Fukuoka Airport (Itazuke Air Base)	Fukuoka, Japan
RJFK	KOJ		Kagoshima Airport	Kagoshima, Japan
RJFM	KMI		Miyazaki Airport	Miyazaki, Miyazaki Prefecture, Japan
RJFO	OIT		Oita Airport	Oita, Japan
RJFR	KKJ		Kokura Airport	Kita Kyūshū, Kyūshū, Japan
RJFS	HSG		Saga Airport	Saga, Kyūshū, Japan
RJFT	KMJ		Kumamoto Airport	Mashiki, Kumamoto Prefecture, Japan
RJFU	NGS		Nagasaki Airport	Nagasaki, Japan
RJGG	NGO		Chubu Centrair International Airport	Nagoya, Japan
RJKA	ASJ		Amami Airport	Amami Island, Japan
RJKI	KKX		Kikaiga Shima Airport	Kikaiga Shima, Kikai-Shima Island, Japan
RJNA	NKM		Nagoya Airfield (formerly: NGO)	Nagoya, Japan
RJNF	FKJ		Fukui Airport	Fukui, Honshu, Japan
RJNG	QGU		Gifu Airport	Gifu, Japan
RJNK	KMQ		Komatsu Airport (Kanazawa Airport)	Komatsu, Ishikawa, Japan
RJNS	FSZ		Mt. Fuji Shizuoka Airport	Shizuoka, Honshu, Japan
RJNT	TOY		Toyama Airport	Toyama, Toyama, Japan
RJOA	HIJ		Hiroshima Airport	Hiroshima, Honshū, Japan
RJOB	OKJ		Okayama Airport	Okayama, Japan
RJOC	IZO		Izumo Airport	Izumo, Shimane, Japan
RJOH	YGJ		Miho-Yonago Airport	Yonago, Tottori, Japan
RJOK	KCZ		Kōchi Ryōma Airport	Kōchi, Japan
RJOM	MYJ		Matsuyama Airport	Matsuyama, Ehime, Japan
RJOO	ITM		Osaka International Airport (Itami Airport)	Itami (near Osaka), Japan
RJOW	IWJ		Iwami Airport (Hagi-Iwami Airport)	Masuda, Shimane, Japan, Japan
RJSA	AOJ		Aomori Airport	Aomori, Japan
RJSC	GAJ		Yamagata Airport (Junmachi Airport)	Yamagata, Honshū, Japan
RJSF	FKS		Fukushima Airport	Sugawa, Fukushima, Japan
RJSH	HHE		Hachinohe Air Base	Hachinohe, Honshū, Japan
RJSI	HNA		Hanamaki Airport	Morioka, Honshū, Japan
RJSK	AXT		Akita Airport	Akita, Japan
RJSM	MSJ		Misawa Air Base	Misawa, Aomori, Japan
RJSN	KIJ		Niigata Airport	Niigata, Japan
RJSR	ONJ		Odate-Noshiro Airport	Kitaakita, Akita, Japan
RJSS	SDJ		Sendai Airport	Natori, Japan
RJSY	SYO		Shonai Airport	Yamagata, Japan
RJTH	HAC		Hachijojima Airport (Hachijo Jima Airport)	Hachijojima (Hachijo Jima), Tokyo, Japan
RJTQ	MYE		Miyakejima Airport	Miyakejima, Japan
RJTT	HND		Haneda Airport (Haneda Airport)	Tokyo, Honshū, Japan
RJTU	QUT		Utsunomiya Airport	Nikkō / Utsunomiya, Tochigi Prefecture, Japan
RKJJ	KWJ		Gwangju Airport	Gwangju (Kwangju), South Korea
RKJK	KUV		Gunsan Airport	Gunsan, South Korea
RKJM	MPK		Mokpo Airport (closed 2007)	Mokpo, South Korea
RKJU	CHN		Chonju Airport	Chonju, South Korea
RKND	SHO		Sokcho Airport	Sokcho, South Korea
RKNN	KAG		Gangneung Airbase	Kangnung (Gangneung), South Korea
RKNW	WJU		Wonju Airport	Wonju, South Korea
RKPC	CJU		Jeju International Airport	Jeju, South Korea
RKPD	JDG		Jungseok Airport	Jeju province, South Korea
RKPE	CHF		Chinhae Airport	Chinhae, South Korea
RKPK	PUS		Gimhae International Airport	Busan, South Korea
RKPS	HIN		Sacheon Airport / Sacheon Air Base	Sacheon, South Korea
RKSI	ICN		Incheon International Airport	Incheon (near Seoul), South Korea
RKSM	SSN		Seoul Air Base	Seongnam, South Korea
RKSS	GMP		Gimpo International Airport (Kimpo Airport)	Seoul, South Korea
RKTH	KPO		Pohang Airport	Pohang, South Korea
RKTN	TAE		Daegu International Airport	Daegu, South Korea
RKTU	CJJ		Cheong Ju International Airport	Cheong ju, South Korea
RKTY	YEC		Yecheon Air Base	Yecheon, South Korea
ROAH	OKA		Naha Airport	Okinawa, Japan
RODN	DNA		Kadena Air Base	Okinawa Prefecture, Japan
ROIG	ISG		Ishigaki Airport	Ishigaki, Okinawa Prefecture, Japan
ROKR	KJP		Kerama Airport	Kerama Islands, Okinawa, Japan
ROMD	MMD		Minami Daito Airport	Minami Daito, Okinawa, Japan
ROMY	MMY		Miyako Airport	Miyakojima, Okinawa, Japan
RORA	AGJ		Aguni Airport	Aguni, Japan
RORE	IEJ		Iejima Airport	Iejima, Japan
RORH	HTR		Hateruma Airport	Hateruma, Okinawa, Japan
RORK	KTD		Kitadaito Airport	Kitadaito, Okinawa Prefecture, Japan
RORS	SHI		Shimojishima Airport	Shimojishima, Japan
RPEN	ENI		El Nido Airport	El Nido, Palawan, Philippines
RPLB	SFS		Subic Bay International Airport	Morong, Bataan, Philippines
RPLC	CRK		Diosdado Macapagal (Clark) International Airport	Angeles City, Philippines
RPLI	LAO		Laoag International Airport	Laoag City, Ilocos Norte, Philippines
RPLL	MNL		Ninoy Aquino International Airport / Villamor Airbase	Metro Manila, Philippines
RPLO	CYU		Cuyo Airport	Cuyo, Palawan, Philippines
RPLP	LGP		Legazpi Airport	Legazpi City, Albay, Philippines
RPLS	SGL		Danilo Atienza (Sangley Point) Air Base	Cavite City, Cavite, Philippines
RPLU	LBX		Lubang Airport	Lubang, Occidental Mindoro, Philippines
RPMA	AAV		Allah Valley Airport	Surallah, South Cotabato, Philippines
RPMC	CBO		Awang Airport	Cotabato City, Philippines
RPMD	DVO		Francisco Bangoy International Airport	Davao City, Philippines
RPME	BXU		Butuan Airport	Butuan City, Philippines
RPMF	BPH		Bislig Airport	Bislig City, Surigao del Sur, Philippines
RPMG	DPL		Dipolog Airport	Dipolog City, Zamboanga del Norte, Philippines
RPMH	CGM		Camiguin Airport	Mambajao, Camiguin, Philippines
RPMI	IGN		Maria Cristina Airport (Iligan Airport)	Baloi, Lanao del Norte, Philippines
RPMJ	JOL		Jolo Airport	Jolo, Sulu, Philippines
RPML	CGY		Lumbia Airport	Cagayan de Oro City, Philippines
RPMM	MLP		Malabang Airport	Malabang, Lanao del Sur, Philippines
RPMN	SGS		Sanga-Sanga Airport	Bongao, Tawi-Tawi, Philippines
RPMO	OZC		Labo Airport	Ozamiz City, Misamis Occidental, Philippines
RPMP	PAG		Pagadian Airport	Pagadian City, Zamboanga del Sur, Philippines
RPMQ	MXI		Imelda R. Marcos Airport	Mati, Davao Oriental, Philippines
RPMR	GES		General Santos International Airport (Tambler Airport)	General Santos City, Philippines
RPMS	SUG		Surigao Airport	Surigao City, Surigao del Norte, Philippines
RPMU	CDY		Cagayan de Tawi-Tawi Airport	Mapun, Tawi-Tawi, Philippines
RPMV	IPE		Ipil Airport	Ipil, Zamboanga Sibugay, Philippines
RPMW	TDG		Tandag Airport	Tandag, Surigao del Sur, Philippines
RPMZ	ZAM		Zamboanga International Airport	Zamboanga City, Philippines
RPNO	XSO		Siocon Airport	Siocon, Zamboanga del Norte, Philippines
RPSD	RZP		Cesar Lim Rodriguez (Taytay-Sandoval) Airport	Taytay, Palawan, Philippines
RPSG	ICO		Sicogon Airport	Carles, Iloilo, Philippines
RPUB	BAG		Loakan Airport	Baguio City, Philippines
RPUD	DTE		Bagasbas Airport	Daet, Camarines Norte, Philippines
RPUH	SJI		San Jose Airport	San Jose, Occidental Mindoro, Philippines
RPUK	CPP		Calapan Airport	Calapan City, Oriental Mindoro, Philippines
RPUM	MBO		Mamburao Airport	Mamburao, Occidental Mindoro, Philippines
RPUN	WNP		Naga Airport (Pili Airport)	Pili, Camarines Sur, Philippines
RPUO	BSO		Basco Airport	Basco, Batanes, Philippines
RPUR	BQA		Baler Airport	Baler, Aurora, Philippines
RPUS	SFE		San Fernando Airport	San Fernando City, La Union, Philippines
RPUT	TUG		Tuguegarao Airport	Tuguegarao City, Cagayan, Philippines
RPUV	VRC		Virac Airport	Virac, Catanduanes, Philippines
RPUW	MRQ		Marinduque Airport	Gasan, Marinduque, Philippines
RPUY	CYZ		Cauayan Airport	Cauayan City, Isabela, Philippines
RPVA	TAC		Daniel Z. Romualdez Airport (Tacloban Airport)	Tacloban City, Philippines
RPVB	BCD		New Bacolod-Silay Airport	Bacolod City, Philippines
RPVC	CYP		Calbayog Airport	Calbayog City, Samar, Philippines
RPVD	DGT		Sibulan (Dumaguete) Airport	Sibulan, Negros Oriental, Philippines
RPVE	MPH		Godofredo P. Ramos Airport (Caticlan Airport)	Malay, Aklan, Philippines
RPVF	CRM		Catarman National Airport	Catarman, Northern Samar, Philippines
RPVI	ILO		Iloilo International Airport	Cabatuan / Santa Barbara, Iloilo, Philippines
RPVJ	MBT		Moises R. Espinosa Airport (Masbate Airport)	Masbate City, Masbate, Philippines
RPVK	KLO		Kalibo Airport	Kalibo, Aklan, Philippines
RPVM	CEB		Mactan-Cebu International Airport	Lapu-Lapu City, Philippines
RPVO	OMC		Ormoc Airport	Ormoc City, Philippines
RPVP	PPS		Puerto Princesa Airport	Puerto Princesa City, Philippines
RPVR	RXS		Roxas Airport	Roxas City, Capiz, Philippines
RPVS	EUQ		Evelio Javier (Antique) Airport	San Jose de Buenavista, Antique, Philippines
RPVT	TAG		Tagbilaran Airport	Tagbilaran City, Bohol, Philippines
RPVU	TBH		Romblon Airport (Tablas Airport)	Alcantara, Romblon, Philippines
RPVV	USU		Busuanga Airport	Coron, Palawan, Philippines
SAAC	COC		Concordia Airport (Comodoro Pierrestegui Airport)	Concordia, Entre Ríos, Argentina
SAAG	GHU		Gualeguaychú Airport	Gualeguaychú, Entre Ríos, Argentina
SAAJ	JNI		Junín Airport	Junín, Buenos Aires, Argentina
SAAP	PRA		General Justo José de Urquiza Airport	Paraná, Entre Ríos, Argentina
SAAR	ROS		Rosario - Islas Malvinas International Airport	Rosario, Argentina
SABE	AEP		Jorge Newbery Airpark	Buenos Aires, Argentina
SACC	LCM		La Cumbre Airport	La Cumbre, Córdoba, Argentina
SACO	COR		Ingeniero Ambrosio L.V. Taravella International Airport (Pajas Blancas)	Córdoba, Córdoba, Argentina
SADD	DOT		Don Torcuato International Airport (closed)	Buenos Aires, Argentina
SADF	FDO		San Fernando Airport	San Fernando, Buenos Aires, Argentina
SADL	LPG		La Plata International Airport	La Plata, Buenos Aires, Argentina
SAEZ	EZE		Ministro Pistarini International Airport	Ezeiza (near Buenos Aires), Argentina
SAHC	HOS		Chos Malal Airport (Oscar Reguera Airport)	Chos Malal, Neuquén, Argentina
SAHR	GNR		Dr. Arturo Umberto Illia Airport	General Roca, Río Negro, Argentina
SAHZ	APZ		Zapala Airport	Zapala, Neuquén, Argentina
SAME	MDZ		Gov. Francisco Gabrielli International Airport (El Plumerillo)	Mendoza, Mendoza Province, Argentina
SAMM	LGS		Comodoro D. Ricardo Salomón Airport (Malargüe Airport)	Malargüe, Mendoza, Argentina
SAMR	AFA		San Rafael Airport	San Rafael, Mendoza, Argentina
SANC	CTC		Coronel Felipe Varela Airport	Catamarca, Catamarca, Argentina
SANE	SDE		Vicecomodoro Ángel de la Paz Aragonés Airport	Santiago del Estero, Argentina
SANL	IRJ		Capitán Vicente Almandos Almonacid Airport	La Rioja, Argentina
SANT	TUC		Teniente General Benjamín Matienzo International Airport	San Miguel de Tucumán, Argentina
SANU	UAQ		Domingo Faustino Sarmiento Airport	San Juan Province, Argentina
SANW	CRR		Ceres Airport	Ceres, Santa Fe, Argentina
SAOD	VDR		Villa Dolores Airport	Villa Dolores, Córdoba, Argentina
SAOR	VME		Pringles Airport	Villa Mercedes, San Luis, Argentina
SAOU	LUQ		San Luis Airport	San Luis, Argentina
SARC	CNQ		Doctor Fernando Piragine Niveyro International Airport	Corrientes, Corrientes, Argentina
SARE	RES		Resistencia International Airport	Resistencia, Chaco, Argentina
SARF	FMA		Formosa International Airport (El Pucú Airport)	Formosa, Argentina
SARI	IGR		Cataratas del Iguazú International Airport	Puerto Iguazú, Misiones, Argentina
SARL	AOL		Paso de los Libres Airport	Paso de los Libres, Corrientes, Argentina
SARM	MCS		Monte Caseros Airport	Monte Caseros, Corrientes, Argentina
SARP	PSS		Libertador General José de San Martín Airport	Posadas, Argentina
SARS	PRQ		Termal Airport (Pres. Roque Saenz Pena Airport)	Presidencia Roque Sáenz Peña, Chaco, Argentina
SASA	SLA		Martín Miguel de Güemes International Airport	Salta, Salta Province, Argentina
SASJ	JUJ		Gobernador Horacio Guzmán International Airport	San Salvador de Jujuy, Jujuy, Argentina
SASO	ORA		Orán Airport	Orán, Salta Province, Argentina
SAST	TTG		Tartagal Airport	Tartagal, Salta, Argentina
SATC	CLX		Clorinda Airport	Clorinda, Formosa, Argentina
SATD	ELO		Eldorado Airport	Eldorado, Misiones, Argentina
SATK	LLS		Alferez Armando Rodriguez	Las Lomitas, Formosa, Argentina
SATM	MDX		Mercedes Airport	Mercedes, Corrientes, Argentina
SATR	RCQ		Reconquista Airport	Reconquista, Santa Fe, Argentina
SATU	UZU		Curuzú Cuatiá Airport	Curuzú Cuatiá, Corrientes, Argentina
SAVB	EHL		El Bolson Airport	El Bolsón, Río Negro, Argentina
SAVC	CRD		General Enrique Mosconi International Airport	Comodoro Rivadavia, Chubut, Argentina
SAVD	EMX		El Maitén Airport	El Maitén, Neuquén, Argentina
SAVE	EQS		Esquel Airport	Esquel, Chubut Province, Argentina
SAVH	LHS		Las Heras Airport	Las Heras, Santa Cruz, Argentina
SAVJ	IGB		C. FAA H.R. Borden Airport (Ingeniero Jacobacci Airport)	Ingeniero Jacobacci, Río Negro, Argentina
SAVQ	MQD		Maquinchao Airport	Maquinchao, Río Negro Province, Argentina
SAVR	ARR		Alto Río Senguer Airport	Alto Río Senguer, Chubut, Argentina
SAVT	REL		Almirante Marco Andrés Zar Airport	Trelew, Chubut, Argentina
SAVV	VDM		Gobernador Edgardo Castello Airport	Viedma, Argentina
SAVY	PMY		El Tehuelche Airport	Puerto Madryn, Argentina
SAWA	ING		Lago Argentino Airport (closed 2006)	El Calafate, Santa Cruz, Argentina
SAWC	FTE		Comandante Armando Tola International Airport	El Calafate, Santa Cruz Province, Argentina
SAWD	PUD		Puerto Deseado Airport	Puerto Deseado, Santa Cruz Province, Argentina
SAWE	RGA		Hermes Quijada International Airport	Río Grande, Tierra del Fuego, Argentina
SAWG	RGL		Piloto Civil Norberto Fernández International Airport	Río Gallegos, Santa Cruz, Argentina
SAWH	USH		Ushuaia - Malvinas Argentinas International Airport	Ushuaia, Tierra del Fuego, Argentina
SAWP	PMQ		Perito Moreno Airport	Perito Moreno, Santa Cruz, Argentina
SAWR	GGS		Gobernador Gregores Airport	Gobernador Gregores, Santa Cruz, Argentina
SAWS	JSM		José de San Martín Airport	José de San Martín, Chubut, Argentina
SAZB	BHI		Comandante Espora Airport	Bahía Blanca, Buenos Aires Province, Argentina
SAZC	CSZ		Brigadier Hector Eduardo Ruiz Airport	Coronel Suárez, Buenos Aires, Argentina
SAZF	OVR		Olavarría Airport	Olavarría, Argentina
SAZG	GPO		General Pico Airport	General Pico, La Pampa, Argentina
SAZH	OYO		Tres Arroyos Airport	Tres Arroyos, Buenos Aires Province, Argentina
SAZM	MDQ		Ástor Piazzola International Airport	Mar del Plata, Buenos Aires Province, Argentina
SAZN	NQN		Presidente Perón International Airport	Neuquen, Argentina
SAZO	NEC		Necochea Airport	Necochea, Buenos Aires, Argentina
SAZP	PEH		Comodoro P. Zanni Airport	Pehuajó, Argentina
SAZR	RSA		Santa Rosa Airport	Santa Rosa, Argentina
SAZS	BRC		San Carlos de Bariloche Airport	San Carlos de Bariloche, Río Negro Province, Argentina
SAZT	TDL		Tandil Airport	Tandil, Argentina
SAZV	VLG		Villa Gesell - Pinamar International Airport	Villa Gesell, Buenos Aires, Argentina
SAZW	CUT		Cutral Có Airport	Cutral Có, Neuquén, Argentina
SAZY	CPC		Aviador Carlos Campos Airport	San Martín de los Andes, Neuquén, Argentina
SBAA	CDJ		Conceição do Araguaia Airport	Conceição do Araguaia, Pará, Brazil
SBAQ	AQA		Araraquara Airport	Araraquara, São Paulo, Brazil
SBAR	AJU		Santa Maria Airport	Aracaju, Sergipe, Brazil
SBAS	AIF		Assis Airport	Assis, São Paulo, Brazil
SBAT	AFL		Alta Floresta Airport	Alta Floresta, Brazil
SBAU	ARU		Araçatuba Airport	Araçatuba, São Paulo, Brazil
SBAX	AAX		Araxá Airport	Araxá, Minas Gerais, Brazil
SBBE	BEL		Val de Cães International Airport	Belém, Pará, Brazil
SBBG	BGX		Comandante Gustavo Kraemer Airport	Bagé, Rio Grande do Sul, Brazil
SBBH	PLU		Pampulha Domestic Airport	Belo Horizonte, Brazil
SBBI	BFH		Bacacheri Airport	Curitiba, Paraná, Brazil
SBBR	BSB		Brasília International Airport	Brasília, Distrito Federal, Brazil
SBBT	BAT		Chafei Amsei Airport	Barretos, São Paulo, Brazil
SBBU	BAU		Bauru Airport	Bauru, São Paulo, Brazil
SBBV	BVB		Boa Vista International Airport	Boa Vista, Roraima, Brazil
SBBW	BPG		Barra do Garças Airport	Barra do Garças, Mato Grosso, Brazil
SBBZ	BZC		Umberto Modiano Airport	Búzios, Rio de Janeiro, Brazil
SBCA	CAC		Cascavel Airport	Cascavel, Paraná, Brazil
SBCB	CFB		Cabo Frio International Airport	Cabo Frio, Rio de Janeiro, Brazil
SBCF	CNF		Tancredo Neves International Airport (Confins Int'l)	Belo Horizonte, Minas Gerais, Brazil
SBCG	CGR		Campo Grande International Airport	Campo Grande, Mato Grosso do Sul, Brazil
SBCH	XAP		Chapecó Airport	Chapecó, Brazil
SBCI	CLN		Carolina Airport	Carolina, Maranhão, Brazil
SBCJ	CKS		Carajas Airport	Carajás, Pará, Brazil
SBCM	CCM		Forquilhinha Airport	Criciúma, Santa Catarina, Brazil
SBCP	CAW		Bartolomeu Lisandro Airport	Campos dos Goitacazes, Rio de Janeiro, Brazil
SBCR	CMG		Corumbá International Airport	Corumbá, Mato Grosso do Sul, Brazil
SBCT	CWB		Afonso Pena International Airport	Curitiba, Paraná, Brazil
